"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Testing","0","Contacts CRUD","1","0","Update Contact","0"
"0","","0","","18","12","","0"
"0","API Testing","0","Contacts CRUD","1","0","Create Contact","0"
"0","Hybrid Testing","0","Contacts Management","1","0","API Setup -> UI Multiple Delete","0"
"1","Playwright Testing","0","Login","0","0","Positive Login (Playwright + POM)","0"
"0","API Testing","0","Contacts CRUD","1","0","Delete Contact","0"
"0","API Testing","0","Contacts CRUD","1","0","Create Contact without Name","0"
"0","UI Testing","0","Contacts Management","0","1","Mass Delete Utilities","0"
"0","API Testing","0","Contacts CRUD","1","0","Get All Contact","0"
"0","Hybrid Testing","0","Contacts Management","1","0","API Setup -> UI Delete -> UI Assert","0"
"0","API Testing","0","Contacts CRUD","0","1","Delete All Contacts","0"
"0","API Testing","0","Contacts Validation","0","1","Create Duplicate Contact","0"
"0","API Testing","0","Contacts CRUD","1","0","Login","0"
